xdotool 4.20260303.1-1
xorg-server 21.1.21-1
xorg-xdpyinfo 1.4.0-1
xorg-xinit 1.4.4-1
xorg-xkill 1.0.7-1
xorg-xsetroot 1.1.3-2
xorg-xwininfo 1.1.6-2
xsettingsd 1.0.2-3
xwinwrap-0.9-bin 0.9-1
yay 12.5.7-1
yay-debug 12.5.7-1
yelp 49.0-1
zoom 6.7.5-1
zram-generator 1.2.1-1
zsh 5.9-5
zsh-autosuggestions 0.7.1-1
zsh-history-substring-search 1.1.0-2
zsh-syntax-highlighting 0.8.0-1
